10b2	10base-2
10b5	10base-5
10b-f	10base-f
10b-fb	10base-fb
10b-fl	10base-fl
10b-fp	10base-fp
10b-t	10base-t
100b-fx	100base-fx
100b-t	100base-t
100b-tx	100base-tx
100bvg	100base-vg
286	intel_80286_processor
2b1q	2_binary_1_quaternary
2gl	second-generation_programming_language
2nf	second_normal_form
3gl	third-generation_programming_language
3nf	third_normal_form
386	intel_80386_processor
486	intel_80486_processor
4b5b	f—4_byte_5_byte_local_fiber
4gl	fourth-generation_programming_language
4nf	fourth_normal_form
5gl	fifth-generation_programming_language
5nf	fifth_normal_form
6nf	sixth_normal_form
8b10blf	8_byte_10_byte_local_fiber
aaa	authentication_authorization,_accounting
aabb	axis_aligned_bounding_box
aac	advanced_audio_coding
aal	atm_adaptation_layer
aalc	atm_adaptation_layer_connection
aarp	appletalk_address_resolution_protocol
abcl	actor-based_concurrent_language
abi	application_binary_interface
abm	asynchronous_balanced_mode
abr	area_border_router
abr	auto_baud-rate_detection
abr	available_bitrate
abr	average_bitrate
ac	acoustic_coupler
ac	alternating_current
acd	automatic_call_distributor
ace	advanced_computing_environment
acid	atomicity_consistency_isolation_durability
ack	acknowledgement
ack	amsterdam_compiler_kit
acl	access_control_list
acl	active_current_loop
acm	association_for_computing_machinery
acme	automated_classification_of_medical_entities
acp	airline_control_program
acpi	advanced_configuration_and_power_interface
acr	allowed_cell_rate
acr	attenuation_to_crosstalk_ratio
ad	active_directory
ad	administrative_domain
adc	analog-to-digital_converter
adc	apple_display_connector
adb	apple_desktop_bus
adccp	advanced_data_communications_control_procedures
ado	activex_data_objects
adsl	asymmetric_digital_subscriber_line
adt	abstract_data_type
ae	adaptive_equalizer
aes	advanced_encryption_standard
af	anisotropic_filtering
afp	apple_filing_protocol
agp	accelerated_graphics_port
ah	active_hub
ai	artificial_intelligence
aix	advanced_interactive_executive
ajax	asynchronous_javascript_and_xml
al	active_link
al	access_list
alac	apple_lossless_audio_codec
algol	algorithmic_language
alsa	advanced_linux_sound_architecture
alu	arithmetic_and_logical_unit
am	access_method
am	active_matrix
amoled	active-matrix_organic_light-emitting_diode
am	active_monitor
am	allied_mastercomputer
am	amplitude_modulation
amd	advanced_micro_devices
amqp	advanced_message_queuing_protocol
amr	audio_modem_riser
ann	artificial_neural_network
ansi	american_national_standards_institute
ant	another_neat_tool
aoe	ata_over_ethernet
aop	aspect-oriented_programming
apci	application-layer_protocol_control_information
api	application_programming_interface
apic	advanced_programmable_interrupt_controller
apipa	automatic_private_ip_addressing
apl	a_programming_language
apr	apache_portable_runtime
arc	adaptive_replacement_cache
arc	advanced_risc_computing
arin	american_registry_for_internet_numbers
arm	advanced_risc_machines
aros	aros_research_operating_system
arp	address_resolution_protocol
arpa	address_and_routing_parameter_area
arpa	advanced_research_projects_agency
arpanet	advanced_research_projects_agency_network
as	access_server
ascii	american_standard_code_for_information_interchange
asg	abstract_semantic_graph
asic	application-specific_integrated_circuit
asimo	advanced_step_in_innovative_mobility
aslr	address_space_layout_randomization
asm	algorithmic_state_machine
asmp	asymmetric_multiprocessing
asn.1	abstract_syntax_notation_1
asp	active_server_pages
asp	application_service_provider
asr	asynchronous_signal_routine
ast	abstract_syntax_tree
assp	application-specific_standard_product
at	advanced_technology
at	access_time
at	active_terminator
ata	advanced_technology_attachment
atag	authoring_tool_accessibility_guidelines
atapi	advanced_technology_attachment_packet_interface
atm	asynchronous_transfer_mode
avc	advanced_video_coding
avi	audio_video_interleaved
awk	aho_weinberger_kernighan
awt	abstract_window_toolkit
b2b	business-to-business
b2c	business-to-consumer
